
POINT (-58.4585304576973 -34.5831458786358);FRAGA 1080;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4615827996759 -34.5829562468919);FRAGA 1274;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4641264769493 -34.5828820161731);FRAGA 1450;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.468770283209 -34.5827480703122);FRAGA 1830;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4592163790071 -34.6148356812241);FRANKLIN 1712;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.461802292864 -34.6157002135481);FRANKLIN 1926;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4645948588904 -34.6166985626248);FRANKLIN 2140;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4667227170409 -34.6175917102689);FRANKLIN 2330;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4463941852396 -34.588467111394);GUEVARA 29;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4498243487615 -34.5870528335107);GUEVARA 365;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4254273764393 -34.6433978500459);GUAL 2322;NUEVA POMPEYA;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4212924424872 -34.646810787065);GUAL 2688;NUEVA POMPEYA;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3710489400259 -34.6327201904182);GUALEGUAY 1289;BARRACAS;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3729460968046 -34.6331031459164);GUALEGUAY 1454;BARRACAS;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.377939802384 -34.652438633856);JORGE 2250;BARRACAS;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.5252786960317 -34.637955460622);MADERO 118;LINIERS;9;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3930851423358 -34.6127262699842);MORENO 1889;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3951718674923 -34.6128747073963);MORENO 2037;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3983649295101 -34.6130633541156);MORENO 2277;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4005119097705 -34.613173773179);MORENO 2415;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4038967473544 -34.6133448455148);MORENO 2679;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.408945414109 -34.6139357083277);MORENO 3015;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.411635934496 -34.6140257973406);MORENO 3219;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4795042088587 -34.5456831130178);QUINTANA 4463;SAAVEDRA;12;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4683160176128 -34.5775897757056);PLAZA 1508;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4703361695071 -34.575192226606);PLAZA 1738;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4643742611141 -34.6371706966547);REMEDIOS 2737;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4673788204447 -34.6379561165511);REMEDIOS 2953;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4701110640274 -34.6386732264995);REMEDIOS 3177;FLORES;7;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.473190998113 -34.6395914622352);REMEDIOS 3469;PARQUE AVELLANEDA;9;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4761524472397 -34.6410457717493);REMEDIOS 3715;PARQUE AVELLANEDA;9;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4855350933809 -34.649486372714);REMEDIOS 4644;PARQUE AVELLANEDA;9;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4338335332619 -34.6190285118612);ROSARIO 352;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3956976135468 -34.6230839303438);SAN JUAN AV. 2166;SAN CRISTOBAL;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3988609723364 -34.6234492671858);SAN JUAN AV. 2374;SAN CRISTOBAL;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4656016047547 -34.6544747563613);SANTANDER 3797;PARQUE AVELLANEDA;9;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3940416225229 -34.6057461496065);SARMIENTO 1935;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3970463574028 -34.6059379045235);SARMIENTO 2125;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4080005899241 -34.6066213315902);SARMIENTO 2959;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.412764955752 -34.6062460836283);SARMIENTO 3333;BALVANERA;3;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4144381692411 -34.6059079798906);SARMIENTO 3465;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4166336781793 -34.6055171451367);SARMIENTO 3669;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4222969386003 -34.6047118934875);SARMIENTO 4075;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4248983764049 -34.6043865583916);SARMIENTO 4271;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.427759936461 -34.6041841554083);SARMIENTO 4429;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.430831726197 -34.6039731802867);SARMIENTO 4625;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3594172775399 -34.6355781917579);SUAREZ 438;BOCA;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3637828547117 -34.6373412006093);SUAREZ 764;BOCA;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3660000880264 -34.6378140094511);SUAREZ 971;BOCA;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3730616995928 -34.6385379223954);SUAREZ 1566;BARRACAS;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4292166982869 -34.6238640756875);VALLE 114;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4319358042213 -34.6242303109905);VALLE 304;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4374546349522 -34.6247267132663);VALLE 688;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4395943493304 -34.6249395496456);VALLE 812;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3731913325461 -34.6155217102745);BOLIVAR 645;MONSERRAT;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.390855130767 -34.6227794739372);SAN JUAN AV. 1768;CONSTITUCION;1;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.3880325148745 -34.6226060840591);SAN JUAN AV. 1566;CONSTITUCION;1;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.3841385489418 -34.6120690051122);MORENO 1257;MONSERRAT;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3873622683881 -34.6123426938151);MORENO 1495;MONSERRAT;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3895508730359 -34.6124621912176);MORENO 1635;MONSERRAT;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3862718984238 -34.6098244113682);SAN JOSE 91;MONSERRAT;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3833973241934 -34.6050565038051);SARMIENTO 1185;SAN NICOLAS;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3856477454556 -34.6051915339544);SARMIENTO 1339;SAN NICOLAS;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3881231495801 -34.6053437823356);SARMIENTO 1523;SAN NICOLAS;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3914154062862 -34.6055436431475);SARMIENTO 1741;SAN NICOLAS;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3924335646487 -34.6440017450463);SUAREZ 3075;BARRACAS;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4387794643663 -34.5979489887985);VERA 622;VILLA CRESPO;15;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4395214619815 -34.5899285275536);CASTILLO 1180;VILLA CRESPO;15;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4602308073421 -34.5546579744065);CUBA 2774;BELGRANO;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.456673441144 -34.5587561777702);CUBA 2330;BELGRANO;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4659201374966 -34.566114476356);MENDOZA 3272;BELGRANO;13;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4549421684787 -34.5596180579934);MENDOZA 2132;BELGRANO;13;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4634677513478 -34.5516028445355);CUBA 3122;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4649113435402 -34.549638935113);CUBA 3390;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4677239734682 -34.5458031873131);CUBA 3890;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4194759544409 -34.6291427833698);CASTRO 1396;BOEDO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4720223300509 -34.5399700974583);CUBA 4670;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4742573962191 -34.5396886398221);VEDIA 2340;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4710508667019 -34.5380559132825);VEDIA 2004;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4262678578148 -34.6077133460773);RAWSON 362;ALMAGRO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4583947114516 -34.5567917995194);CUBA 2542;BELGRANO;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.470218557482 -34.5424150866852);CUBA 4338;NUÑEZ;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4489501251521 -34.5560259420457);MENDOZA 1538;BELGRANO;13;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4423795738778 -34.6252098293972);VALLE 1048;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.450760960498 -34.5701559537789);ZABALA 2618;COLEGIALES;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4557879440323 -34.5689897115381);VIDAL 1535;COLEGIALES;13;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4477691689485 -34.6265282805478);VALLE 1418;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4518114913778 -34.6113102257712);ESPINOSA 1045;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4545090348582 -34.6076310624029);ESPINOSA 1405;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.5148486225448 -34.6174407338497);CERVANTES 2469;VILLA DEVOTO;11;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4716220198547 -34.5738989624606);PLAZA 1866;VILLA URQUIZA;12;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4834336359556 -34.5740264009919);PACHECO 2289;VILLA URQUIZA;12;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4875167289666 -34.5689356323109);PACHECO 2931;VILLA URQUIZA;12;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4376456689286 -34.6198072866964);ROSARIO 619;CABALLITO;6;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4856947736532 -34.5712027063977);PACHECO 2645;VILLA URQUIZA;12;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3617648456455 -34.6167903454393);MANSO JUANA 1670;PUERTO MADERO;1;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4419201694417 -34.568900220959);11 DE SEPTIEMBRE DE 1888 986;PALERMO;14;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4433571423934 -34.5677738167835);11 DE SEPTIEMBRE DE 1888 1128;PALERMO;14;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.462744448382 -34.5772347856025);14 DE JULIO 1352;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.46578760112 -34.5740327920979);14 DE JULIO 1652;VILLA ORTUZAR;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.5003323114982 -34.5644706782782);20 DE FEBRERO 5653;SAAVEDRA;12;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.3619375587998 -34.6290162580011);20 DE SETIEMBRE 238;BOCA;4;Papel / CartónBn / Pl;Los materiales deben estar limpios y secos
POINT (-58.410625033029 -34.6220536792394);24 DE NOVIEMBRE 970;SAN CRISTOBAL;3;Papel / CartónLn / Pl;Los materiales deben estar limpios y secos
POINT (-58.4093186005858 -34.6350853164947);24 DE NOVIEMBRE 2051;PARQUE PATRICIOS;4;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.428314214146 -34.6655662104963);27 DE FEBRERO AV. 6000;VILLA SOLDATI;8;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
